,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
116945,MX,visaclassic,477291.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1436475340.0,MexicoAccount,115605,68088,39791,1,2015-7-9
118524,GB,visadebit,475714.0,32900.0,SEK,SE,Ecommerce,TRUE,1,1436401963.0,SwedenAccount,235494,200377,6516,1,2015-7-9
118686,MX,mccredit,547046.0,119900.0,MXN,MX,Ecommerce,TRUE,0,1438413049.0,MexicoAccount,136002,66496,131108,1,2015-8-1
118687,MX,mccredit,547046.0,217700.0,MXN,MX,Ecommerce,TRUE,0,1438414185.0,MexicoAccount,136002,66496,131108,1,2015-8-1
118754,AU,mccredit,552033.0,45300.0,AUD,AU,Ecommerce,TRUE,0,1438432096.0,APACAccount,254888,4,200829,1,2015-8-1
120537,MX,visaclassic,477291.0,119940.0,MXN,MX,Ecommerce,TRUE,0,1439172398.0,MexicoAccount,45468,79970,66367,1,2015-8-10
120538,MX,visaclassic,477291.0,119940.0,MXN,MX,Ecommerce,TRUE,0,1439178978.0,MexicoAccount,152900,79974,67358,1,2015-8-10
120539,MX,mccredit,554629.0,119900.0,MXN,MX,Ecommerce,TRUE,0,1439240179.0,MexicoAccount,15408,53370,74661,1,2015-8-10
120625,AU,mccredit,552033.0,47500.0,AUD,AU,Ecommerce,TRUE,0,1439191093.0,APACAccount,307610,137,153046,1,2015-8-10
120626,AU,mccredit,552033.0,40000.0,AUD,AU,Ecommerce,TRUE,0,1439217386.0,APACAccount,336981,22420,154667,1,2015-8-10
122629,AU,mccredit,531355.0,34000.0,AUD,AU,Ecommerce,TRUE,0,1439252847.0,APACAccount,330564,158889,255587,1,2015-8-11
122630,AU,mccredit,544434.0,13850.0,AUD,AU,Ecommerce,TRUE,0,1439273695.0,APACAccount,20370,33928,223178,1,2015-8-11
122906,GB,visadebit,484431.0,4325.0,GBP,GB,Ecommerce,TRUE,1,1439314443.0,UKAccount,193167,337144,91862,1,2015-8-11
124477,MX,mccredit,547046.0,109900.0,MXN,MX,Ecommerce,TRUE,0,1439356418.0,MexicoAccount,346968,66157,33244,1,2015-8-12
